Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,methodology
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2010,2010,1000 tonnes,9.52,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2011,2011,1000 tonnes,10.45,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2012,2012,1000 tonnes,8.21,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2013,2013,1000 tonnes,5.65,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2014,2014,1000 tonnes,8.94,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2015,2015,1000 tonnes,5.16,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2016,2016,1000 tonnes,10.23,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2017,2017,1000 tonnes,10.7,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2018,2018,1000 tonnes,10.76,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2019,2019,1000 tonnes,13.01,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2781,"Fish, Body Oil",2020,2020,1000 tonnes,13.01,E,Estimated value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2010,2010,1000 tonnes,246.96,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2011,2011,1000 tonnes,203.12,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2012,2012,1000 tonnes,237.77,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2013,2013,1000 tonnes,172.53,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2014,2014,1000 tonnes,223.5,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2015,2015,1000 tonnes,180.49,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2016,2016,1000 tonnes,205.93,I,Imputed value,new
FBS,Food Balances (2010-),36,Australia,5521,Feed,S2763,Pelagic Fish,2017,2017,1000 tonnes,167.45,I,Imputed value,new
